,alternativeSpellings,createdAt,department,id,name,updatedAt
53,,2016-03-24T08:35:07.620Z,104,5349,Cheddarjuusto,2016-12-16T09:11:33.234Z
54,,2016-03-24T08:35:08.280Z,106,5351,Chia-siemen,2016-12-16T09:11:35.394Z
55,,2016-03-24T08:35:08.598Z,106,5352,"Chili, jauhettu",2016-12-16T09:11:40.110Z
56,,2016-03-24T08:35:09.550Z,100,5355,"Chili, punainen",2016-12-16T09:11:41.910Z
57,,2016-03-24T08:35:09.867Z,100,5356,"Chili, vihreä",2016-12-16T09:11:42.271Z
58,,2016-03-24T08:35:10.219Z,105,5357,Chilikastike,2016-12-16T09:11:42.630Z
59,,2016-03-24T08:35:10.538Z,105,5358,"Chilikastike, makea",2016-12-16T09:11:44.083Z
60,,2016-03-24T08:35:11.172Z,105,5360,"Chilitahna, sambal oelek",2016-12-16T09:11:49.872Z
61,,2016-03-24T08:35:11.809Z,105,5362,"Chutney, mango",2016-12-16T09:11:52.417Z
62,,2016-03-24T08:35:12.165Z,101,5363,Ciabatta,2016-12-16T09:11:54.222Z
63,,2016-03-24T08:35:13.192Z,107,5366,"Cocktailpiirakka, pakaste",2016-12-16T09:12:00.460Z
64,,2016-03-24T08:35:13.512Z,111,5367,Cocktailtikku,2016-12-16T09:12:00.820Z
65,,2016-03-24T08:35:13.831Z,100,5368,Cosmopolitan salaatti,2016-12-16T09:12:07.761Z
66,,2016-03-24T08:35:14.557Z,105,5370,"Couscous, täysjyvä",2016-12-16T09:12:09.204Z
67,,2016-03-24T08:35:14.876Z,104,5371,Creme fraiche,2016-12-16T09:12:10.650Z
68,,2016-03-24T08:35:15.246Z,104,5372,"Creme fraiche, 18 %",2016-12-16T09:12:11.011Z
69,,2016-03-24T08:35:15.565Z,104,5373,"Creme fraiche, 28 %",2016-12-16T09:12:11.778Z
70,,2016-03-24T08:35:15.946Z,104,5374,"Creme fraiche, kevyt",2016-12-16T09:12:12.865Z
71,,2016-03-24T08:35:16.266Z,107,5375,"Croissant, pakaste",2016-12-16T09:12:19.409Z
72,,2016-03-24T08:35:16.585Z,101,5376,"Croissant, valmistaikina",2016-12-16T09:12:20.892Z
73,,2016-03-24T08:35:17.289Z,104,5378,"Cuisine Creme Fraiche, chili ja paprika",2016-12-16T09:12:22.350Z
74,,2016-03-24T08:35:17.610Z,104,5379,"Cuisine Creme Fraiche, pippurisekoitus",2016-12-16T09:12:22.783Z
75,,2016-03-24T08:35:19.337Z,105,5384,Currytahna,2016-03-24T08:35:19.337Z
76,,2016-03-24T08:35:23.989Z,109,5397,Dippijauhe,2016-03-24T08:35:23.989Z
77,,2016-03-24T08:35:27.644Z,106,5408,Elintarvikeväri,2016-03-24T08:35:27.644Z
